time,ro0,ro1,ro2,ro3,ro4,ro5,ro6,ro7,
1.09500000e-09,5.57798177e-04,3.26898614e-04,2.51917841e-04,1.72615154e-04,2.11684279e-04,5.18157210e-04,5.16940206e-04,2.31801348e-04,
1.10500000e-09,3.11428426e-04,2.36294955e-04,1.89799068e-04,1.48296566e-04,1.66958841e-04,3.06795859e-04,3.01257383e-04,1.76573912e-04,
1.11500000e-09,2.20886852e-04,1.78228329e-04,1.48093660e-04,1.32705213e-04,1.41713158e-04,2.01985792e-04,1.93392103e-04,1.41952671e-04,
1.12500000e-09,1.67557078e-04,1.44794959e-04,1.25609660e-04,1.20688674e-04,1.27383440e-04,1.47921912e-04,1.37733091e-04,1.23367942e-04,
1.13500000e-09,1.36269073e-04,1.27366232e-04,1.13395688e-04,1.16888732e-04,1.18978935e-04,1.23570313e-04,1.13403040e-04,1.10785916e-04,
1.14500000e-09,1.20144648e-04,1.15772333e-04,1.05575849e-04,9.38814339e-05,1.13215228e-04,1.10286208e-04,1.01425202e-04,1.03622788e-04,
1.15500000e-09,1.09140849e-04,1.12281281e-04,1.03199696e-04,1.95657103e-05,6.12699227e-05,1.02581495e-04,9.76486452e-05,9.49727115e-05,
1.16500000e-09,1.04188591e-04,8.93829451e-05,6.34872697e-05,2.50471618e-05,4.94283508e-06,9.63858016e-05,8.86071621e-05,3.96840458e-05,
1.17500000e-09,9.64285353e-05,8.83327749e-06,-7.43524864e-06,7.92489437e-04,4.12637858e-04,5.01820541e-05,1.54881709e-05,3.25393220e-06,
1.18500000e-09,3.63966841e-05,1.81361305e-05,1.16874971e-04,1.51565121e-03,1.39462913e-03,-7.40417684e-06,-2.10521678e-05,5.39528192e-04,
1.19500000e-09,-8.32624672e-06,7.95062274e-04,9.30721821e-04,-5.31500424e-03,-2.27376722e-03,1.88883884e-04,4.73048953e-04,1.42965136e-03,
1.20500000e-09,3.39644562e-04,1.53925988e-03,1.14083795e-03,-1.72747211e-02,-1.38163567e-02,1.06331467e-03,1.43388845e-03,-3.42668862e-03,
1.21500000e-09,1.23597663e-03,-5.31046126e-03,-6.27961444e-03,4.82635233e-02,2.58928037e-02,5.21077186e-05,-2.41083437e-03,-1.62232957e-02,
1.22500000e-09,-1.14293839e-03,-1.83332955e-02,-2.06849348e-02,2.56618079e-01,1.92187869e-01,-8.92216156e-03,-1.43900399e-02,2.00942745e-02,
1.23500000e-09,-1.11642270e-02,3.88282126e-02,2.22332053e-02,5.45306382e-01,4.60909355e-01,-1.73351241e-02,-8.89482618e-03,1.76247392e-01,
1.24500000e-09,-2.05491973e-03,2.32222573e-01,1.93262673e-01,8.28484480e-01,7.49298969e-01,5.10993964e-02,8.87887168e-02,4.25715197e-01,
1.25500000e-09,1.06726913e-01,5.06641478e-01,4.52880591e-01,1.03337309e+00,9.78781278e-01,2.52399698e-01,3.09679532e-01,6.94007978e-01,
1.26500000e-09,3.43129261e-01,7.81063862e-01,7.24849329e-01,1.13647526e+00,1.11065552e+00,5.22090503e-01,5.84609167e-01,9.18981690e-01,
1.27500000e-09,6.30109691e-01,9.92008886e-01,9.48429179e-01,1.17231982e+00,1.16286623e+00,7.82896408e-01,8.39610218e-01,1.06470551e+00,
1.28500000e-09,8.86851862e-01,1.11144226e+00,1.08645912e+00,1.18366283e+00,1.17968254e+00,9.82915479e-01,1.02310724e+00,1.13788768e+00,
1.29500000e-09,1.05949052e+00,1.16049037e+00,1.15006598e+00,1.18897872e+00,1.18665719e+00,1.10028702e+00,1.12194939e+00,1.16818630e+00,
1.30500000e-09,1.14231794e+00,1.17798824e+00,1.17415781e+00,1.19275719e+00,1.19132420e+00,1.15327048e+00,1.16276990e+00,1.18171270e+00,
1.31500000e-09,1.17200832e+00,1.18609021e+00,1.18383427e+00,1.19541697e+00,1.19466865e+00,1.17433392e+00,1.17867269e+00,1.18954402e+00,
1.32500000e-09,1.18286489e+00,1.19148518e+00,1.18920142e+00,1.19704281e+00,1.19669666e+00,1.18435231e+00,1.18678675e+00,1.19426106e+00,
1.33500000e-09,1.18883532e+00,1.19497248e+00,1.19288399e+00,1.19819298e+00,1.19802644e+00,1.19060563e+00,1.19210646e+00,1.19670917e+00,
1.34500000e-09,1.19307366e+00,1.19695881e+00,1.19534191e+00,1.19901779e+00,1.19894743e+00,1.19447138e+00,1.19531896e+00,1.19799646e+00,
1.35500000e-09,1.19572076e+00,1.19826176e+00,1.19716003e+00,1.19948347e+00,1.19946241e+00,1.19661620e+00,1.19714873e+00,1.19884795e+00,
1.36500000e-09,1.19737217e+00,1.19910425e+00,1.19846586e+00,1.19972566e+00,1.19971869e+00,1.19801392e+00,1.19839020e+00,1.19938129e+00,
1.37500000e-09,1.19855831e+00,1.19954613e+00,1.19921374e+00,1.19986081e+00,1.19985933e+00,1.19894976e+00,1.19917649e+00,1.19965807e+00,
1.38500000e-09,1.19927238e+00,1.19976388e+00,1.19959776e+00,1.19992989e+00,1.19993092e+00,1.19946367e+00,1.19957875e+00,1.19981506e+00,
1.39500000e-09,1.19962594e+00,1.19988440e+00,1.19980373e+00,1.19996455e+00,1.19996619e+00,1.19972043e+00,1.19978272e+00,1.19990557e+00,
1.40500000e-09,1.19981268e+00,1.19994401e+00,1.19990612e+00,1.19997769e+00,1.19998267e+00,1.19986011e+00,1.19989214e+00,1.19995215e+00,
1.41500000e-09,1.19991157e+00,1.19997233e+00,1.19995433e+00,1.19998742e+00,1.19998545e+00,1.19993009e+00,1.19994626e+00,1.19997412e+00,
1.42500000e-09,1.19995763e+00,1.19998506e+00,1.19997448e+00,1.20005673e+00,1.19999525e+00,1.19996485e+00,1.19997286e+00,1.19998085e+00,
1.43500000e-09,1.19997906e+00,1.19998551e+00,1.19998163e+00,1.20010315e+00,1.20006799e+00,1.19997991e+00,1.19998025e+00,1.19999925e+00,
1.44500000e-09,1.19998482e+00,1.19999550e+00,1.19999857e+00,1.19942004e+00,1.20007622e+00,1.19998370e+00,1.19998844e+00,1.20007616e+00,
1.45500000e-09,1.19998969e+00,1.20007606e+00,1.20008105e+00,1.19854635e+00,1.19934784e+00,1.20000507e+00,1.20003651e+00,1.20001513e+00,
1.46500000e-09,1.20002534e+00,1.20008649e+00,1.20008519e+00,1.20542746e+00,1.19854423e+00,1.20008629e+00,1.20010120e+00,1.19922322e+00,
1.47500000e-09,1.20008956e+00,1.19932288e+00,1.19924926e+00,1.22099143e+00,1.20500746e+00,1.20003068e+00,1.19977931e+00,1.19878867e+00,
1.48500000e-09,1.19984920e+00,1.19842406e+00,1.19827461e+00,1.17090745e+00,1.22011258e+00,1.19923170e+00,1.19893495e+00,1.20677947e+00,
1.49500000e-09,1.19905168e+00,1.20446019e+00,1.20416087e+00,9.92105384e-01,1.17102615e+00,1.19847983e+00,1.20001384e+00,1.21920812e+00,
1.50500000e-09,1.19954038e+00,1.22030343e+00,1.22071837e+00,7.34465050e-01,9.94753692e-01,1.20527561e+00,1.21086108e+00,1.15410036e+00,
1.51500000e-09,1.20869484e+00,1.17877791e+00,1.18297242e+00,4.72258114e-01,7.39686089e-01,1.22164425e+00,1.21449655e+00,9.53821374e-01,
1.52500000e-09,1.21647237e+00,1.01528586e+00,1.02316633e+00,2.62333526e-01,4.77003179e-01,1.17617262e+00,1.13168176e+00,6.85850253e-01,
